"nRegistro","fechaRegistro","temperaturaC","tempAmb","humedadPorc","humedadSuelo"
"1","2022-08-22 21:21:52","21.00","16.00","71.00","100.00"
"2","2022-08-22 21:22:52","20.00","15.00","73.00","100.00"
"3","2022-08-22 21:23:52","19.00","14.00","74.00","100.00"
"4","2022-08-22 21:24:53","19.00","14.00","75.00","100.00"
"5","2022-08-22 21:25:53","19.00","14.00","76.00","100.00"
"6","2022-08-22 21:26:53","19.00","14.00","76.00","100.00"
"7","2022-08-22 21:27:53","19.00","14.00","76.00","100.00"
"8","2022-08-22 21:28:53","18.00","14.00","77.00","100.00"
"9","2022-08-22 21:29:53","18.00","14.00","77.00","100.00"
"10","2022-08-22 21:30:54","18.00","14.00","78.00","100.00"
"11","2022-08-22 21:31:54","18.00","14.00","77.00","100.00"
"12","2022-08-22 21:32:54","18.00","14.00","77.00","100.00"
"13","2022-08-22 21:33:54","18.00","14.00","78.00","100.00"
"14","2022-08-22 21:34:54","18.00","13.00","77.00","100.00"
"15","2022-08-22 21:35:54","18.00","13.00","78.00","100.00"
"16","2022-08-22 21:36:55","18.00","13.00","78.00","100.00"
"17","2022-08-22 21:37:55","18.00","13.00","78.00","100.00"
"18","2022-08-22 21:38:55","18.00","13.00","78.00","100.00"
"19","2022-08-22 21:39:55","18.00","13.00","78.00","100.00"
"20","2022-08-22 21:40:55","18.00","13.00","78.00","100.00"
"21","2022-08-22 21:41:56","18.00","13.00","78.00","100.00"
"22","2022-08-22 21:42:56","18.00","14.00","80.00","100.00"
"23","2022-08-22 21:43:56","18.00","13.00","79.00","100.00"
"24","2022-08-22 21:44:56","18.00","13.00","78.00","100.00"
"25","2022-08-22 21:45:56","18.00","13.00","78.00","100.00"
"26","2022-08-22 21:46:57","18.00","13.00","78.00","100.00"
"27","2022-08-22 21:47:57","18.00","13.00","79.00","100.00"
"28","2022-08-22 21:48:57","18.00","13.00","78.00","100.00"
"29","2022-08-22 21:49:57","18.00","13.00","78.00","100.00"
"30","2022-08-22 21:50:57","18.00","13.00","78.00","100.00"
"31","2022-08-22 21:51:57","18.00","13.00","78.00","100.00"
"32","2022-08-22 21:52:58","18.00","13.00","78.00","100.00"
"33","2022-08-22 21:53:58","18.00","13.00","78.00","100.00"
"34","2022-08-22 21:54:58","18.00","13.00","78.00","100.00"
"35","2022-08-22 21:55:58","18.00","13.00","78.00","100.00"
"36","2022-08-22 21:56:58","18.00","13.00","78.00","100.00"
"37","2022-08-22 21:57:58","18.00","13.00","78.00","100.00"
"38","2022-08-22 21:58:59","18.00","13.00","78.00","100.00"
"39","2022-08-22 21:59:59","18.00","13.00","78.00","100.00"
"40","2022-08-22 22:00:59","18.00","13.00","79.00","100.00"
"41","2022-08-22 22:01:59","18.00","13.00","78.00","100.00"
"42","2022-08-22 22:02:59","18.00","13.00","78.00","100.00"
"43","2022-08-22 22:04:00","18.00","13.00","78.00","100.00"
"44","2022-08-22 22:05:00","18.00","13.00","79.00","100.00"
"45","2022-08-22 22:06:00","18.00","13.00","79.00","100.00"
"46","2022-08-22 22:07:00","18.00","13.00","79.00","100.00"
"47","2022-08-22 22:08:00","18.00","13.00","79.00","100.00"
"48","2022-08-22 22:09:00","18.00","13.00","80.00","100.00"
"49","2022-08-22 22:10:01","18.00","14.00","79.00","100.00"
"50","2022-08-22 22:11:01","18.00","14.00","79.00","100.00"
"51","2022-08-22 22:12:06","18.00","13.00","78.00","100.00"
"52","2022-08-22 22:13:15","255.00","0.00","0.00","0.00"
"53","2022-08-22 22:14:19","23.00","19.00","78.00","100.00"
"54","2022-08-22 23:23:30","14.00","8.00","77.00","0.00"
"55","2022-08-22 23:24:30","18.00","13.00","82.00","100.00"
"56","2022-08-22 23:25:30","18.00","13.00","82.00","0.00"
"57","2022-08-22 23:26:30","18.00","13.00","81.00","0.00"
"58","2022-08-22 23:27:31","18.00","13.00","81.00","0.00"
"59","2022-08-22 23:28:31","18.00","13.00","81.00","0.00"
"60","2022-08-22 23:29:31","18.00","13.00","82.00","0.00"
"61","2022-08-22 23:30:31","18.00","13.00","81.00","0.00"
"62","2022-08-22 23:31:35","18.00","13.00","82.00","100.00"
