nRegistro,fechaRegistro,temperaturaC,tempAmb,humedadPorc,humedadSuelo,fecha,hora
1,2022-08-22 21:21:52,21.0,16.0,71.0,100.0,2022-08-22,21:21:52
2,2022-08-22 21:22:52,20.0,15.0,73.0,100.0,2022-08-22,21:22:52
3,2022-08-22 21:23:52,19.0,14.0,74.0,100.0,2022-08-22,21:23:52
4,2022-08-22 21:24:53,19.0,14.0,75.0,100.0,2022-08-22,21:24:53
5,2022-08-22 21:25:53,19.0,14.0,76.0,100.0,2022-08-22,21:25:53
6,2022-08-22 21:26:53,19.0,14.0,76.0,100.0,2022-08-22,21:26:53
7,2022-08-22 21:27:53,19.0,14.0,76.0,100.0,2022-08-22,21:27:53
8,2022-08-22 21:28:53,18.0,14.0,77.0,100.0,2022-08-22,21:28:53
9,2022-08-22 21:29:53,18.0,14.0,77.0,100.0,2022-08-22,21:29:53
10,2022-08-22 21:30:54,18.0,14.0,78.0,100.0,2022-08-22,21:30:54
11,2022-08-22 21:31:54,18.0,14.0,77.0,100.0,2022-08-22,21:31:54
12,2022-08-22 21:32:54,18.0,14.0,77.0,100.0,2022-08-22,21:32:54
13,2022-08-22 21:33:54,18.0,14.0,78.0,100.0,2022-08-22,21:33:54
14,2022-08-22 21:34:54,18.0,13.0,77.0,100.0,2022-08-22,21:34:54
15,2022-08-22 21:35:54,18.0,13.0,78.0,100.0,2022-08-22,21:35:54
16,2022-08-22 21:36:55,18.0,13.0,78.0,100.0,2022-08-22,21:36:55
17,2022-08-22 21:37:55,18.0,13.0,78.0,100.0,2022-08-22,21:37:55
18,2022-08-22 21:38:55,18.0,13.0,78.0,100.0,2022-08-22,21:38:55
19,2022-08-22 21:39:55,18.0,13.0,78.0,100.0,2022-08-22,21:39:55
20,2022-08-22 21:40:55,18.0,13.0,78.0,100.0,2022-08-22,21:40:55
21,2022-08-22 21:41:56,18.0,13.0,78.0,100.0,2022-08-22,21:41:56
22,2022-08-22 21:42:56,18.0,14.0,80.0,100.0,2022-08-22,21:42:56
23,2022-08-22 21:43:56,18.0,13.0,79.0,100.0,2022-08-22,21:43:56
24,2022-08-22 21:44:56,18.0,13.0,78.0,100.0,2022-08-22,21:44:56
25,2022-08-22 21:45:56,18.0,13.0,78.0,100.0,2022-08-22,21:45:56
26,2022-08-22 21:46:57,18.0,13.0,78.0,100.0,2022-08-22,21:46:57
27,2022-08-22 21:47:57,18.0,13.0,79.0,100.0,2022-08-22,21:47:57
28,2022-08-22 21:48:57,18.0,13.0,78.0,100.0,2022-08-22,21:48:57
29,2022-08-22 21:49:57,18.0,13.0,78.0,100.0,2022-08-22,21:49:57
30,2022-08-22 21:50:57,18.0,13.0,78.0,100.0,2022-08-22,21:50:57
31,2022-08-22 21:51:57,18.0,13.0,78.0,100.0,2022-08-22,21:51:57
32,2022-08-22 21:52:58,18.0,13.0,78.0,100.0,2022-08-22,21:52:58
33,2022-08-22 21:53:58,18.0,13.0,78.0,100.0,2022-08-22,21:53:58
34,2022-08-22 21:54:58,18.0,13.0,78.0,100.0,2022-08-22,21:54:58
35,2022-08-22 21:55:58,18.0,13.0,78.0,100.0,2022-08-22,21:55:58
36,2022-08-22 21:56:58,18.0,13.0,78.0,100.0,2022-08-22,21:56:58
37,2022-08-22 21:57:58,18.0,13.0,78.0,100.0,2022-08-22,21:57:58
38,2022-08-22 21:58:59,18.0,13.0,78.0,100.0,2022-08-22,21:58:59
39,2022-08-22 21:59:59,18.0,13.0,78.0,100.0,2022-08-22,21:59:59
40,2022-08-22 22:00:59,18.0,13.0,79.0,100.0,2022-08-22,22:00:59
41,2022-08-22 22:01:59,18.0,13.0,78.0,100.0,2022-08-22,22:01:59
42,2022-08-22 22:02:59,18.0,13.0,78.0,100.0,2022-08-22,22:02:59
43,2022-08-22 22:04:00,18.0,13.0,78.0,100.0,2022-08-22,22:04:00
44,2022-08-22 22:05:00,18.0,13.0,79.0,100.0,2022-08-22,22:05:00
45,2022-08-22 22:06:00,18.0,13.0,79.0,100.0,2022-08-22,22:06:00
46,2022-08-22 22:07:00,18.0,13.0,79.0,100.0,2022-08-22,22:07:00
47,2022-08-22 22:08:00,18.0,13.0,79.0,100.0,2022-08-22,22:08:00
48,2022-08-22 22:09:00,18.0,13.0,80.0,100.0,2022-08-22,22:09:00
49,2022-08-22 22:10:01,18.0,14.0,79.0,100.0,2022-08-22,22:10:01
50,2022-08-22 22:11:01,18.0,14.0,79.0,100.0,2022-08-22,22:11:01
51,2022-08-22 22:12:06,18.0,13.0,78.0,100.0,2022-08-22,22:12:06
52,2022-08-22 22:13:15,255.0,12.926553672316384,78.38983050847457,62.14689265536723,2022-08-22,22:13:15
53,2022-08-22 22:14:19,23.0,19.0,78.0,100.0,2022-08-22,22:14:19
54,2022-08-22 23:23:30,14.0,8.0,77.0,62.14689265536723,2022-08-22,23:23:30
