nRegistro,temperaturaC,tempAmb,humedadPorc,humedadSuelo,hora,fecha,fechaRegistrada
1,21.0,16.0,71.0,100.0,21:21:52,2022-08-22,2022-08-22 21:21:52
2,20.0,15.0,73.0,100.0,21:22:52,2022-08-22,2022-08-22 21:22:52
3,19.0,14.0,74.0,100.0,21:23:52,2022-08-22,2022-08-22 21:23:52
4,19.0,14.0,75.0,100.0,21:24:53,2022-08-22,2022-08-22 21:24:53
5,19.0,14.0,76.0,100.0,21:25:53,2022-08-22,2022-08-22 21:25:53
6,19.0,14.0,76.0,100.0,21:26:53,2022-08-22,2022-08-22 21:26:53
7,19.0,14.0,76.0,100.0,21:27:53,2022-08-22,2022-08-22 21:27:53
8,18.0,14.0,77.0,100.0,21:28:53,2022-08-22,2022-08-22 21:28:53
9,18.0,14.0,77.0,100.0,21:29:53,2022-08-22,2022-08-22 21:29:53
10,18.0,14.0,78.0,100.0,21:30:54,2022-08-22,2022-08-22 21:30:54
11,18.0,14.0,77.0,100.0,21:31:54,2022-08-22,2022-08-22 21:31:54
12,18.0,14.0,77.0,100.0,21:32:54,2022-08-22,2022-08-22 21:32:54
13,18.0,14.0,78.0,100.0,21:33:54,2022-08-22,2022-08-22 21:33:54
14,18.0,13.0,77.0,100.0,21:34:54,2022-08-22,2022-08-22 21:34:54
15,18.0,13.0,78.0,100.0,21:35:54,2022-08-22,2022-08-22 21:35:54
16,18.0,13.0,78.0,100.0,21:36:55,2022-08-22,2022-08-22 21:36:55
17,18.0,13.0,78.0,100.0,21:37:55,2022-08-22,2022-08-22 21:37:55
18,18.0,13.0,78.0,100.0,21:38:55,2022-08-22,2022-08-22 21:38:55
19,18.0,13.0,78.0,100.0,21:39:55,2022-08-22,2022-08-22 21:39:55
20,18.0,13.0,78.0,100.0,21:40:55,2022-08-22,2022-08-22 21:40:55
21,18.0,13.0,78.0,100.0,21:41:56,2022-08-22,2022-08-22 21:41:56
22,18.0,14.0,80.0,100.0,21:42:56,2022-08-22,2022-08-22 21:42:56
23,18.0,13.0,79.0,100.0,21:43:56,2022-08-22,2022-08-22 21:43:56
24,18.0,13.0,78.0,100.0,21:44:56,2022-08-22,2022-08-22 21:44:56
25,18.0,13.0,78.0,100.0,21:45:56,2022-08-22,2022-08-22 21:45:56
26,18.0,13.0,78.0,100.0,21:46:57,2022-08-22,2022-08-22 21:46:57
27,18.0,13.0,79.0,100.0,21:47:57,2022-08-22,2022-08-22 21:47:57
28,18.0,13.0,78.0,100.0,21:48:57,2022-08-22,2022-08-22 21:48:57
29,18.0,13.0,78.0,100.0,21:49:57,2022-08-22,2022-08-22 21:49:57
30,18.0,13.0,78.0,100.0,21:50:57,2022-08-22,2022-08-22 21:50:57
31,18.0,13.0,78.0,100.0,21:51:57,2022-08-22,2022-08-22 21:51:57
32,18.0,13.0,78.0,100.0,21:52:58,2022-08-22,2022-08-22 21:52:58
33,18.0,13.0,78.0,100.0,21:53:58,2022-08-22,2022-08-22 21:53:58
34,18.0,13.0,78.0,100.0,21:54:58,2022-08-22,2022-08-22 21:54:58
35,18.0,13.0,78.0,100.0,21:55:58,2022-08-22,2022-08-22 21:55:58
36,18.0,13.0,78.0,100.0,21:56:58,2022-08-22,2022-08-22 21:56:58
37,18.0,13.0,78.0,100.0,21:57:58,2022-08-22,2022-08-22 21:57:58
38,18.0,13.0,78.0,100.0,21:58:59,2022-08-22,2022-08-22 21:58:59
39,18.0,13.0,78.0,100.0,21:59:59,2022-08-22,2022-08-22 21:59:59
40,18.0,13.0,79.0,100.0,22:00:59,2022-08-22,2022-08-22 22:00:59
41,18.0,13.0,78.0,100.0,22:01:59,2022-08-22,2022-08-22 22:01:59
